GENERAL SHEET NOTES,GENERAL SHEET NOTES.1
A.,"SEE DRAWING E0.01 FOR ABBREVIATIONS, SYMBOLS, GENERALNOTES AND DEVICE MOUNTING HEIGHT OF WALL MOUNTED DEVICES, UON."
B.,"SOLE PRODUCT OR MANUFACTURER/SOURCE: WHERE A SINGLE PRODUCT OR MANUFACTURER/SOURCE IS NAMED, SUBJECT TO COMPLIANCE WITH REQUIREMENTS, COMPARABLE PRODUCTS WILL BE CONSIDERED."
C.,SEE T AND Y SERIES PLANS FOR ADDITIONAL INFORMATION AND REQUIREMENTS.
D.,COORDINATE ALL DEVICE LOCATIONS AND MOUNTING HEIGHTS WITH ARCHITECTURAL DRAWINGS PRIOR TO ROUGH-IN.
E.,THE CONTRACTOR SHALL COORDINATE EXACT LOCATION OF EQUIPMENT POWER CONNECTIONS WITH EQUIPMENT INSTALLER PRIOR TO ROUGH-IN.
F.,CONTRACTOR SHALL BE RESPONSIBLE FOR SUPPLYING ANY REQUIRED TRANSFORMER/POWER SUPPLIES FOR DOOR HARDWARE. COORDINATE WITH ARCHITECTURAL AND SECURITY DRAWINGS FOR DOOR HARDWARE. PROVIDE 120V POWER AS REQUIRED.
G.,PROVIDE WIRING METHODS COMPLIANT WITH UL 2196 STANDARD FOR FIRE RESISTIVE CABLING.
H.,VOLTAGE DROP SHALL BE LIMITED TO LESS THAN 3% FOR ALL BRANCH CIRCUITS AND 2% FOR ALL FEEDERS.
I.,X-RAY EXISTING FLOORS TO COORDINATE ALL WIRING DEVICE AND CORE DRILL LOCATIONS WITH ARCHITECTURAL DRAWINGS PRIOR TO ROUGH IN. LOCATION TO BE DETERMINED IN CONJUNCTION WITH FURNITURE SELECTION.
J.,CONTRACTOR SHALL COORDINATE AND FIELD VERIFY REQUIREMENT OF NEUTRAL CONDUCTOR FOR ALL EQUIPMENT AND PROVIDE NEUTRAL CONDUCTOR AS NECESSARY.
K.,"FOR WORKSTATION CIRCUITS SHARING A NEUTRAL, PROVIDE MULTI POLE CIRCUIT BREAKER. TIE DEVICES ARE NOT ACCEPTABLE."
L.,TRIPPING OF GFCI RECEPTACLES SHALL NOT AFFECT THE DOWNSTREAM RECEPTACLES.
M.,NO MORE THAN 3 CIRCUITS MAY SHARE A HOMERUN. CIRCUITS SHALL BE CONFIGURED WITH DEDICATED NEUTRAL CONDUCTORS.
N.,CIRCUITS FEEDING AV EQUIPMENT SHALL SHARE SAME PHASE.
O.,ALL UNUSED WALL OUTLETS TO BE COVERED WITH BLANK PLATE. ALL BLANK PLATE COLORS TO MATCH WALL COLOR.
P.,"SEE ANY COMMUNICATIONS PATHWAY PLAN AND AV DRAWINGS, FOR ADDITIONAL CONDUIT TO BE PROVIDED BY ELECTRICAL CONTRACTOR."
Q.,ALL CONDUIT ROUTED WITHIN SLAB SHALL COMPLY WITH GUIDELINES LISTED IN STRUCTURAL DRAWINGS.
R.,ELECTRICAL ROOMS IN ACCORDANCE WITH NEC 110.26.
S.,"OPEN CEILING AREAS ARE CONSIDERED PART OF THE ARCHITECTURAL DESIGN ELEMENT. COORDINATE ROUTING AND MOUNTING OF ANY CONDUIT, CABLING OR DEVICES WITH ARCHITECT PRIOR TO INSTALLATION."
