GRAPHIC LEGEND,GRAPHIC LEGEND.1
Room Name,ROOM NAME
101,ROOM NUMBER
Wall,WALL FINISH
Base,BASE FINISH
Floor,FLOOR FINISH
CONC-1,POLISHED CONCRETE
CONC-2,POLISHED CONCRETE - STAINED
CPT-1,"CARPET TILE (18"" x 36"" BENTLEY MILLS AFTER DARK OR APPROVED EQUAL)"
CPT-2,"CARPET TILE (18"" x 36"" BENTLEY MILLS BUZZ WORTHY OR APPROVED EQUAL)"
CPT-3,"CARPET TILE (18"" x 36"" BENTLEY MILLS NIGHT VISION OR APPROVED EQUAL)"
CPT-04,"CARPET TILE (18"" x 36"" BENTLEY MILLS BURNISH OR APPROVED EQUAL)"
CPT-05,"CARPET TILE (18"" x 36"" BENTLEY MILLS MISFIT OR APPROVED EQUAL)"
CPT-06,"CARPET TILE (18"" x 36"" BENTLEY MILLS TYPECAST OR APPROVED EQUAL)"
CPT-07,WALKOFF CARPET TILE (MOHAWK FIRST STEP II OR APPROVED EQUAL)
ESD-1,STATIC CONTROL FLOORING (SHAW SUMMIT SERIES GREYLOCK OR APPROVED EQUAL)
FTL-1,"FLOOR TILE (BEDROSIAN METRO 2.0 24"" x 24"" FLOOR TILE NIGHTSKY OR APPROVED EQUAL)"
