document,page_number,sheet_number,sheet_title,revision,discipline,page_type,building_level,width_pt,height_pt,scale,scale_ratio,scale_unit,nts,description
1 - Drawings.pdf,1,AF2.1,LEVEL 1 - FINISH FLOOR PLAN - NORTH - AREA A,CD,architectural,floor_plan,Level 1,3024.0,2160.0,"1/8"" = 1'-0""",96.0,ft,False,"Level 1 finish floor plan for North Area A. Shows various rooms including offices, grad labs, classrooms, and circulation areas with their respective floor, base, and wall finish codes. Includes a graphic legend detailing carpet tiles, concrete finishes, static control flooring, and floor tile. Also includes general sheet notes and sheet keynotes."
1 - Drawings.pdf,2,AF2.3,LEVEL 1 - FINISH FLOOR PLAN - SOUTH - AREA A,,architectural,floor_plan,Level 1,3024.0,2160.0,"1/8"" = 1'-0""",96.0,ft,False,"Level 1 finish floor plan for South Area A. The drawing shows various rooms including offices, reception, watch center, and labs with their respective floor, base, and wall finish codes (e.g., CPT-6, WB-1, P-1). Includes a graphic legend detailing finish materials like polished concrete, carpet tiles, and static control flooring. Also includes general sheet notes."
1 - Drawings.pdf,3,E2.1.3,ELECTRICAL POWER PLAN - NORTH - AREA B,,electrical,floor_plan,,3024.0,2160.0,"1/8"" = 1'-0""",96.0,ft,False,"Electrical power floor plan for North Area B. The drawing shows room layouts with electrical receptacles, data outlets, and floor boxes. It includes General Sheet Notes and Sheet Keynotes detailing grounding bar installation and receptacle replacement. Structural grid lines N-A through N-E and N-1 through N-6 are visible."
1 - Drawings.pdf,4,E2.3,ELECTRICAL - ENLARGED ROOMS,,electrical,floor_plan,,3024.0,2160.0,"3/8"" = 1'-0""",32.0,ft,False,"Enlarged electrical room floor plans showing equipment layouts for Main Electrical Room E-1-S11, Main Electrical Room E-1-S21, ISAC Electrical Room S105, and UCCS Electrical Room N140. The page includes General Sheet Notes and Sheet Keynotes detailing equipment installation, wiring requirements, and clearances."
1 - Drawings.pdf,5,E5.1,ELECTRICAL DIAGRAMS & CALCULATIONS,,electrical,single_line_diagram,,3024.0,2160.0,NTS,,,True,"Electrical diagrams and calculations sheet containing short-circuit calculations, existing switchboard schedules for MSB-SOUTH and MSB-NORTH, and electrical one-line diagrams for South Building (ISAC) and North Building (UCCS). Also includes general sheet notes, sheet keynotes, and a feeder schedule."
1 - Drawings.pdf,6,P2.1.B,FIRST LEVEL PLUMBING PLAN - NORTH - AREA B,,plumbing,floor_plan,,3024.0,2160.0,"1/8"" = 1'-0""",96.0,ft,False,"First level plumbing plan for North Area B. The drawing shows existing men's and women's restrooms, a mechanical room, an electrical room, and a vacant space. General sheet notes and sheet keynotes are provided on the right side of the page. Various plumbing fixtures and equipment are tagged."
1 - Drawings.pdf,7,P4.1,PLUMBING ENLARGED PLANS,,plumbing,floor_plan,Level 1,3024.0,2160.0,"1/4"" = 1'-0""",48.0,ft,False,"Enlarged plumbing plans for the first level, including water plan, sanitary/vent plan, and deduct alternate plans for North Area A and B. The sheet shows existing men's and women's restrooms, new toilets, and circulation areas with associated plumbing fixtures, piping, and connections. Includes General Sheet Notes and Sheet Keynotes detailing plumbing connections, fixtures, and piping requirements."
3 - Finishes Product Schedule.pdf,1,,,,architectural,finishes_schedule,,792.0,612.0,,,,False,"A tabular finishes and materials schedule listing manufacturers, products, MasterFormat sections, categories, tags, and remarks for various architectural elements including wall panels, paint, tiles, and countertops."
3 - Finishes Product Schedule.pdf,2,,,,architectural,finishes_schedule,,792.0,612.0,,,,False,"A tabular finishes and materials schedule listing various architectural products including paints, metal ceilings, polished concrete, carpet tiles, gypsum board, and acoustic panels. The table includes manufacturer names, product descriptions, CSI MasterFormat codes, categories, material tags (e.g., P-4A, CPT-1, ACT-2), and installation notes such as color and location. No column headers or title block are visible."
3 - Finishes Product Schedule.pdf,3,,,,architectural,finishes_schedule,,792.0,612.0,,,,False,"A tabular finishes and materials schedule listing various architectural products. The schedule includes acoustical panel ceilings (ACT-1), glazing films (GLF-1, GLF-2), roller window shades (RSH-01, RSH-2), and interior paints/coatings (P-1, P-1A, P-1C, P-2, P-3). It details manufacturer names (USG, Decorative Films LLC, Mecho, Dunn-Edwards Paints), product series, specification sections, and installation notes such as colors and finishes."
4 - Plumbing Product Schedule.pdf,1,,,,plumbing,equipment_schedule,,792.0,612.0,,,,False,"A plumbing equipment and fixture schedule listing various items including water heaters, sinks, toilets, urinals, and garbage disposals. Columns include Manufacturer, Product + Subname, Approval Status, Masterformat section, Category, Tag, and Remarks."
4 - Plumbing Product Schedule.pdf,2,,,,plumbing,equipment_schedule,,792.0,612.0,,,,False,"A tabular schedule page listing plumbing fixtures, specifically detailing an American Standard Afwall ADA Retrofit water closet (WC-1) and an Elkay drinking fountain (DF-1). Includes manufacturer, model numbers, CSI MasterFormat section 22 40 00, and remarks requiring WaterSense labeling and approved equals."
